Date,User_ID,Location,Text
2020-05-1,ElectsWorld,,"🇮🇹#Italy, poll :

How would you rate #Conte's Government handling of #Coronavirus crisis ?

⏫Positive : 69 % (+8)
⏬Negative : 29 % (-5)

#Ixè, 23/06/20 https://t.co/4Gwm3ursUy"
2020-05-2,nbanthia,"Vancouver, British Columbia",Karl Marx: “The last capitalist we hang shall be the one who sold us the rope!” #COVID19 #retail #Capitalism #profits #businessideas #KarlMarx https://t.co/5kXenPS1ai
2020-05-2,VPDCyberCrime,,The attached link from @MFDA has some great information around #COVID19 scams and how to safeguard yourself. https://t.co/BOeikVsPVz
2020-05-2,carlaslb,"California, USA","I am fuming! A country that does no agree that the use of a mask is a good idea to protect its citizens during an infectious pandemic tells a lot about the state of mind of the leadership of that country. Feels like a Hollywood production but no it’s the sad reality. 

#COVID19"
2020-05-2,Citizen204,,"4th person shot in #SeattleAutonomousZone 

https://t.co/7aLb2OGeqJ

#Trump #KAG2020 #Democrats #Biden #Trump2020 #Seattle #thursdaymorning #WednesdayThoughts #Corona #COVID__19 #COVID19 #riots2020 #protests #AntifaTerrorist #Flynn #FlynnIsFree #CNN #Biden2020Landslide"
2020-05-2,amythewriterly,,"Been waiting for a year for surgery. Finally scheduled in March, rescheduled for July. Hospitals are almost at capacity. People here hate masks. Maybe next year my quality of life will improve? #covid19 https://t.co/k9W8vjpOo0"
2020-05-2,redempter,Kigali,"Everyday, i remind my children about the good things that come with internet. I also caution them about the bad that come with it especially during this #COVID19. https://t.co/rlmCRidQqd"
2020-05-2,oliveradeka,KENYA,This article is featured on the @ResearchGate #COVID19 community page. Read it here: https://t.co/b6CJb20A0D
2020-05-2,AVONHMO,"Marina, Lagos","The #COVID19 pandemic has created an even greater need for conversations on #MentalHealth.

We're looking forward to our webinar with Dr @KafayahOgunsola on Managing Mental Health in Difficult Times with our enrollees at @keystonebankng tomorrow. 

More details later. https://t.co/jU0PoBoKtV"
2020-05-2,Annette_Taddeo,"Miami, FL","😷 #WearAMask to not only keep yourself safe but others as well. 

The fight against #COVID19 is a community effort. https://t.co/pbrCi9ucg8"
2020-05-2,TRACYAJONES_,DC-MD-VA-NJ-PA,"6/26 

The last paycheck for many in the nonprofit and higher education space due to budget cuts.

While #COVID19 contributed to the reductions, it is important Leadership within this space are held accountable for the misaligned priorities that led to the constraints PRE Covid."
2020-05-2,CesarGuerraT,"Guayaquil, Ecuador",IEEEorg: How can #technology help in the fight against #COVID19? #AI expert Sébastien Louradour discusses with TechRepublic: https://t.co/exE3yWJDm1.
2020-05-2,Intralinks,"New York, NY","The clock is ticking! #RegisterNow for our ""Digitising the LP Dialogue"" #webinar on June 30 and hear our team of industry experts discuss how #PrivateEquity reporting is aiding transparency during #COVID19. https://t.co/qAKc5FZQJN https://t.co/p6pK4XVBDa"
2020-05-2,VK_Intel,"New York, NY","2020-06-24: [Cybercrime State]📌🔥 Digital ""Thief War""​: How COVID-19 Pandemic Triggered Generational Conflict

@IntelAdvanced Report: How ""Old Guard"" Replaced with ""Next Gen"" Crime (Like Maze) Highlighted During #COVID19 (""Ransomware Leak Revolution"")

https://t.co/63JKiYCtSA"
2020-05-2,PergamIC,"Seattle, WA",@AKeyzner @BldCancerDoc @DrMiguelPerales @JennCuellarR @sloan_kettering @mini_kamboj @tmhohl71 This is an interesting idea - but do you worry about false positive antibody testing? #COVID19 #ASTCTchat
2020-05-2,TheAfricaReport,"Paris, France","#Egypt VS #Coronavirus: Ahead of #COVID19, #Egyptian #COTTON farmers faced a 35% decrease in the amount of acres allotted for cotton plantation. Many farmers knew cotton would be of no use this year, and focused on food security, reports @MouradKamel94 

https://t.co/rk0sIZOwMK"
2020-05-2,cosmosbaby,"Chicago, IL","@nhdogmom @politicususa That's not going to help his poll numbers if testing sites close down and cases of #coronavirus keep going up.  His attempts to demolish the ACA and throw people off insurance won't help, either.

https://t.co/sfEgdMqd7f"
2020-05-2,Jerusalem_Post,Israel,"The struggle in #Israel against #coronavirus succeeded in doing what we have not: Bringing Israeli-Arabs closer to society at large. 

https://t.co/qgjTL4HF85"
2020-05-2,TheAfricaReport,"Paris, France","#Egypt VS #Coronavirus: Ahead of #COVID19, #Egyptian #COTTON farmers faced a 35% decrease in the amount of acres allotted for cotton plantation. Many farmers knew cotton would be of no use this year, and focused on food security, reports @MouradKamel94 

https://t.co/rk0sIZOwMK"
2020-05-2,mrsimonkp,"Mount Vernon, NY",@atrupar @MariBXBKgirl #CORONAVIRUS RETWEETED 🤣🤣😂😂🤣 God help us https://t.co/prVSN7QGVF
2020-05-2,LThakuriya,"Jaipur, India","The next corona caller tune  should tell people to wear mask on the nose and not on the chin
#coronavirus #no_attitude_onlysafety"
2020-05-2,dailystar,London,"How hairdressers will look after lockdown – from waiting lists to no blow drys

#Hairdressers #Salons #July4 #coronavirus

https://t.co/acQ84lfNl6"
2020-05-2,AlanGTV,Denver,"Denver is finding a #coronavirus infection rate of about 3%-but mayor says at 5% there may have to pause further re-opening.
https://t.co/RSpoaCiHgA
@CBSDenver"
2020-05-2,AdvocateIndian,,Dow plunges 700 points as Florida sees record jump in coronavirus cases https://t.co/ETWL6btYOa #coronavirus #Covid_19 @EconomicTimes @bsindia @livemint @BT_India @BTVI @CNBC @CNBCTV18News @NBCNews @business @businessinsider @BiIndia @FinancialTimes @FinancialXpress @markets @WSJ
2020-05-2,IAM__Network,Worldwide,"Coronavirus pandemic: What you need to know in Asheville, WNC, June 20 

READ MORE: https://t.co/L9PCMRJ1FF

#cdc #coronavirus #covid19 #mers #outbreak #pandemic #sars #ViralOutbreak #virus #who* https://t.co/pGiNUBs1US"
2020-05-2,wearedonbosco,Global,Technical students are making masks with the excess fabric from sewing projects at the Salesians of Don Bosco technical school in Samoa. #Samoa #WeAreDonBosco #Salesian #covid19 #coronavirus https://t.co/lhecnrWl31
2020-05-2,JHWhitley,"Austin, TX","It's amazing how fast ""Stay at home"" protesters popped up once big business got their #coronavirus relief checks and oil dropped to a negative value, isn't it?"
2020-05-2,SallmanMustafa,Iraq,"#coronavirus is not a joke! Almost a week and still I am so weak and have pain 🙏
Be safe please!"
2020-05-2,essaberries,,"Liberal experts keep preaching to us about racism and how and what we can do to prevent it even though Dem experts are racist themselves, smh. #maga #kag #TrumpDictatorship #trump2020 #blacklifematters #AsianLivesMatter #Resist #TheResistance #COVID19 #coronavirus"
2020-05-2,FramSource,"Framingham, MA",#Massachusetts Attorney General Issues Advisory on #Auto Sales During #Coronavirus Pandemic https://t.co/5GWQKmkmTx
2020-05-2,hatecouture616,France,"Buy our John Wayne Gacy « Fight Covid19 - Stay at my Home » on our shop

🤡 https://t.co/VS9FvjZ0Yq

#hatecouture #johnwaynegacy #clown #covid_19 #covid19 #covid #coronavirus #serialkiller #chicago #killerclown… https://t.co/A8QGfFKmVA"
2020-05-3,AshAldridge22,,Will my results be added to the next cycle? I had #COVID19 testing done yesterday. Going to an AL funeral with a mask on last week may not have done me any good since the rest of my family chose not to #MaskUp https://t.co/0arpR72BmO
2020-05-3,Melissa_Wasser,202 || 330,"🚨 I'll be testifying tomorrow at 9am on behalf of @rcfp in front of the @HouseJudiciary Subcommittee on Courts, Intellectual Property, and the Internet. Come hear me talk about #SCOTUS and increasing federal court access during #COVID19 and beyond! https://t.co/aWSKVzOJv3"
2020-05-3,HPeremen,"Doral, FL","Well, @realDonaldTrump finally got his wall... to lock us in from the world.
#TrumpResignNow #COVID19
#TrumpRecession #TrumpResign

EU Could Bar U.S. Travelers Due To Ongoing Rise In COVID-19 Cases https://t.co/kP4IYdJn6I"
2020-05-3,Della807,,"Fact check: Trump claimed he was left 'no ventilators.' His administration just confirmed he had more than 16,000
#COVID19
https://t.co/8Vbvd02tt9"
2020-05-3,JaakkoWeuro,,Finland was not in a position to vote in favor of the final package as amended in the negotiations - the changes introduce also permanent and not directly #COVID19 related changes to the #Banking prudential framework. Such changes should not be introduced in times of crisis. https://t.co/6CleqNg3yc
2020-05-3,BraveNewWorldM1,,"This hasn’t gotten much attention. Buried behind the #COVID19, #police, #blm, #riots, #statue destruction, the next bombshell could the beginning of #project blue beam. Senators want the public to see the government's UFO reports... hmm. Not to sound crazy https://t.co/MPFL6fMgYd"
2020-05-3,InvisibleMan963,,"Hi @MarkRutte, @GiuseppeConteIT @EmmanuelMacron @RegSprecher @jensspahn @hugodejonge to end #COVID19, we need to make sure no one is left behind. When negotiating with pharmaceuticals, request from them to reserve the same amount for the poorest countries. #GlobalGoalUnite"
2020-05-3,ChinaDaily,"Beijing, China","#Beijing should stay highly cautious about the further spread of #COVID19 cases and enhance its nucleic acid testing capacities, according to capital city authorities."
2020-05-3,securityspeak,working from home,"The #COVID19 health pandemic has forced businesses to digitally transform, and fast. But many IT teams still have questions related to their #digitaltransformation journey. More in a post from @SHI_Intl  https://t.co/ASqASgQwss https://t.co/ojLPLx1OMo"
2020-05-3,AeonixAeon,"New Jersey, USA","Flying a flag upside-down is conventional protocol to indicate a country in distress.

I think with #COVID19, No #MedicareForAll, 21.4% unemployment (U6), No #GreenNewDeal and the @DNC &amp; @GOP saving themselves, during #BlackLivesMatter, this flag is appropriate.

Don't you? @AOC https://t.co/9DOiepC4yx"
2020-05-3,nbanthia,"Vancouver, British Columbia",Karl Marx: “The last capitalist we hang shall be the one who sold us the rope!” #COVID19 #retail #Capitalism #profits #businessideas #KarlMarx https://t.co/5kXenPS1ai
2020-05-3,VPDCyberCrime,,The attached link from @MFDA has some great information around #COVID19 scams and how to safeguard yourself. https://t.co/BOeikVsPVz
2020-05-3,carlaslb,"California, USA","I am fuming! A country that does no agree that the use of a mask is a good idea to protect its citizens during an infectious pandemic tells a lot about the state of mind of the leadership of that country. Feels like a Hollywood production but no it’s the sad reality. 

#COVID19"
2020-05-3,amythewriterly,,"Been waiting for a year for surgery. Finally scheduled in March, rescheduled for July. Hospitals are almost at capacity. People here hate masks. Maybe next year my quality of life will improve? #covid19 https://t.co/k9W8vjpOo0"
2020-05-3,redempter,Kigali,"Everyday, i remind my children about the good things that come with internet. I also caution them about the bad that come with it especially during this #COVID19. https://t.co/rlmCRidQqd"
2020-05-3,trudygonzales,,"President Donald Trump failed us
He ignored the threat of the #coronavirus putting public health at risk for personal gain, his reelection
Donald Trump will always put his interests first
That means the stock market, not us
Most Americans do not own stocks or have a 401k"
2020-05-3,rajeshkshitij,hyderabad,"#WestBengal - 445 new #COVID19 positive cases &amp; 11 deaths reported in state in the last 24 hours. Now total no. of cases in state rises to 15,173 including 9,702 Discharged, 4,880 Active cases &amp; 591 Fatalities - State Health Dept
#coronavirus @News18MP @News18CG"
2020-05-3,ShivadelicMe,"Here, There, Everywhere",@MridulRSingh #coronavirus has made this another @Fact of our lives!
2020-05-3,ReformAustin,"Texas, USA",.@bastaaustin's Eviction Solidarity Network has been tracking evictions in Travis County this year. Here is their dashboard: https://t.co/rquvRKwKu7 #COVID19 #coronavirus #txlege 1/
2020-05-3,jamesvgingerich,"Waterloo, Ontario Canada",#CoronaVirus: Investing in black lives and livelihoods. (McKinsey)  #COVIDー19 #COVID19 #CoronaVirusOutbreak #CoronaVirusPandemic https://t.co/IsRcFFuOzS https://t.co/FZsAYMbboE
2020-05-3,AdriaBalletBeat,New York City,"They canceled the hajj, but Trump wouldn’t cancel his rally #coronavirus #SocialDistancing #Mecca"
2020-05-3,cosmosbaby,"Chicago, IL","@nhdogmom @politicususa That's not going to help his poll numbers if testing sites close down and cases of #coronavirus keep going up.  His attempts to demolish the ACA and throw people off insurance won't help, either.

https://t.co/sfEgdMqd7f"
2020-05-3,Jerusalem_Post,Israel,"The struggle in #Israel against #coronavirus succeeded in doing what we have not: Bringing Israeli-Arabs closer to society at large. 

https://t.co/qgjTL4HF85"
2020-05-3,TheAfricaReport,"Paris, France","#Egypt VS #Coronavirus: Ahead of #COVID19, #Egyptian #COTTON farmers faced a 35% decrease in the amount of acres allotted for cotton plantation. Many farmers knew cotton would be of no use this year, and focused on food security, reports @MouradKamel94 

https://t.co/rk0sIZOwMK"
2020-05-3,mrsimonkp,"Mount Vernon, NY",@atrupar @MariBXBKgirl #CORONAVIRUS RETWEETED 🤣🤣😂😂🤣 God help us https://t.co/prVSN7QGVF
2020-05-3,LThakuriya,"Jaipur, India","The next corona caller tune  should tell people to wear mask on the nose and not on the chin
#coronavirus #no_attitude_onlysafety"
2020-05-3,dailystar,London,"How hairdressers will look after lockdown – from waiting lists to no blow drys

#Hairdressers #Salons #July4 #coronavirus

https://t.co/acQ84lfNl6"
2020-05-3,AlanGTV,Denver,"Denver is finding a #coronavirus infection rate of about 3%-but mayor says at 5% there may have to pause further re-opening.
https://t.co/RSpoaCiHgA
@CBSDenver"
2020-05-3,AdvocateIndian,,Dow plunges 700 points as Florida sees record jump in coronavirus cases https://t.co/ETWL6btYOa #coronavirus #Covid_19 @EconomicTimes @bsindia @livemint @BT_India @BTVI @CNBC @CNBCTV18News @NBCNews @business @businessinsider @BiIndia @FinancialTimes @FinancialXpress @markets @WSJ
2020-05-3,IAM__Network,Worldwide,"Coronavirus pandemic: What you need to know in Asheville, WNC, June 20 

READ MORE: https://t.co/L9PCMRJ1FF

#cdc #coronavirus #covid19 #mers #outbreak #pandemic #sars #ViralOutbreak #virus #who* https://t.co/pGiNUBs1US"
2020-05-4,Over_50_And_Fab,"New York, NY","This host stoled my deposit on #airbnb when I could not travel due to #COVID19. Don't use him here either! #AirbnbrefundNOW

https://t.co/urzgAFM9u4"
2020-05-4,SuzanneDundee,,@StevenBeschloss This is why we need to get out and #VoteBlue because your life does depend on it. #COVID19
2020-05-4,furyof1000sons,,And THEY want THEIR #reparations! #FreeLabor #Deadbeats #FreeRide #FindersKeepers #ADOS #FBA #BlackLivesMatter #BLM #COVID19 #JimCrow #plantations #AtlanticSlaveTrade #whiteamerica #HardWork #delinquency #Theft #PayYourDebts #Reparations2020 #ReparationsNow https://t.co/7V8YRH1ZCS
2020-05-4,PIBMumbai,"Mumbai, India",".@iitgn researchers have detected #COVID19 in waste water &amp; sewage treatment plants in #Ahmedabad. The #virus is shed in faeces, urine, human saliva, cough &amp; spit. Hence, its prevalence in sewage treatment plants can give an early warning in an area

🎥https://t.co/LMUzbvrKAy
1/n https://t.co/2RNu1O6EVY"
