,id,cluster
483,2149,3
484,707,0
485,71,2
486,16,6
487,499,5
488,1244,7
489,1473,3
490,454,1
491,1094,5
492,303,0
493,1962,6
494,1580,6
495,608,1
496,34,6
497,717,1
498,2059,0
499,302,4
500,199,1
501,557,7
502,1636,2
503,791,6
504,4,7
505,685,1
506,69,2
507,266,3
508,1956,0
509,682,5
510,525,1
511,515,5
512,263,1
513,2023,6
514,73,3
515,272,4
516,276,6
517,1008,2
518,320,0
519,957,2
520,660,0
521,28,6
522,1086,4
523,1824,4
524,2380,0
525,517,0
526,164,5
527,899,6
528,1228,7
529,723,7
530,1400,0
531,1972,0
532,1125,5
533,767,0
534,396,6
535,1722,7
536,838,7
537,6,5
538,1773,5
539,1663,0
540,1233,7
541,2361,5
542,256,5
543,1613,2
544,1900,3
545,2199,7
546,640,7
547,2018,5
548,1673,7
549,1703,7
550,1066,5
551,1297,0
552,1100,2
553,772,0
554,771,5
555,1752,1
556,735,0
557,2417,5
558,1494,6
559,1306,7
560,2081,5
561,684,1
562,1899,5
563,331,5
564,66,6
565,1964,0
566,586,4
567,2026,1
568,980,5
569,2332,5
570,758,6
571,1662,7
572,903,2
573,481,7
574,2286,1
575,990,4
576,277,1
577,1170,5
578,596,0
579,2422,5
580,2112,3
581,746,5
582,191,7
583,563,0
584,129,2
585,871,2
586,433,6
587,1769,1
588,1051,1
589,1771,5
590,891,5
591,243,0
592,1391,1
593,2157,2
594,1183,6
595,2463,0
596,635,0
597,1262,7
598,965,5
599,603,7
600,2032,2
601,1023,6
602,264,0
603,762,0
604,2468,5
605,424,1
606,639,4
607,356,7
608,783,7
609,1154,7
610,2198,7
611,376,1
612,627,1
613,2101,6
614,437,3
615,1981,1
616,1661,7
617,898,6
618,2297,7
619,2434,2
620,1564,0
621,1442,5
622,1424,1
623,797,1
624,2250,1
625,2148,5
626,1458,5
627,1711,0
628,1565,1
629,1080,2
630,1048,0
631,117,5
632,2161,2
633,689,6
634,568,0
635,1532,1
636,1568,6
637,2445,1
638,1038,0
639,1425,7
640,110,5
641,2407,1
642,2193,7
643,1794,0
644,650,6
645,2377,1
646,1885,1
647,1792,4
648,577,1
649,1428,5
650,141,4
651,725,0
652,985,1
653,1487,2
654,612,0
655,1439,2
656,1592,2
657,1528,1
658,1593,2
659,2281,0
660,375,1
661,282,5
662,2437,0
663,68,7
664,1116,6
665,51,0
666,1252,1
667,1986,7
668,2104,7
669,2371,5
670,192,7
671,1918,6
672,2105,0
673,910,7
674,1817,2
675,2120,0
676,382,7
677,460,6
678,1155,6
679,12,1
680,1581,7
681,1365,0
682,462,5
683,92,0
684,2035,3
685,1572,6
686,583,6
687,1085,1
688,1480,0
689,929,0
690,103,5
691,369,0
692,399,5
693,1163,0
694,2217,0
695,1715,5
696,1369,7
697,1440,0
698,1268,0
699,39,5
700,722,5
701,570,0
702,224,5
703,659,7
704,458,3
705,628,5
706,1039,5
707,1397,2
708,1469,0
709,1967,6
710,1819,5
711,1645,5
712,2324,2
713,1130,2
714,84,2
715,2042,1
716,1147,4
717,490,2
718,466,1
719,2288,7
720,2493,7
721,1945,6
722,782,6
723,327,6
724,2292,1
725,1743,5
726,1569,0
727,1774,1
728,615,7
729,2051,5
730,2200,4
731,1935,3
732,1627,7
733,1831,0
734,1861,0
735,146,7
736,1750,7
737,234,0
738,342,6
739,1671,2
740,415,7
741,2165,1
742,2303,7
743,2159,4
744,2274,6
745,2273,7
746,90,2
747,865,7
748,1651,5
749,2222,6
750,1596,4
751,1286,0
752,1884,1
753,1090,0
754,1683,1
755,289,1
756,1946,6
757,679,6
758,2338,7
759,1335,0
760,1830,4
761,592,1
762,261,7
763,2138,7
764,1589,1
765,2191,7
766,1102,6
767,1329,1
768,728,7
769,241,6
770,2385,5
771,1319,6
772,1493,0
773,2307,7
774,2412,7
775,1993,7
776,87,0
777,516,1
778,542,7
779,1728,7
780,2433,5
781,286,2
782,1259,1
783,318,1
784,53,0
785,1354,6
786,2242,7
787,455,1
788,202,5
789,779,2
790,1741,1
791,178,6
792,1079,7
793,1880,3
794,595,6
795,1073,4
796,2318,5
797,393,7
798,681,1
799,1047,7
800,1377,7
801,1911,7
802,1666,6
803,1657,5
804,2243,5
805,2085,7
806,1242,2
807,1298,7
808,247,1
809,1217,7
810,798,7
811,1856,5
812,77,6
813,812,1
814,271,1
815,2158,6
816,2284,6
817,19,3
818,1776,7
819,2314,7
820,951,1
821,534,5
822,1603,5
823,152,0
824,215,7
825,513,5
826,209,5
827,1635,5
828,778,1
829,1508,5
830,784,1
831,1108,7
832,78,2
833,1955,0
834,555,2
835,2320,6
836,1965,1
837,734,5
838,1934,0
839,2177,0
840,61,0
841,1292,6
842,1353,0
843,1248,7
844,1710,1
845,274,6
846,377,1
847,885,0
848,2472,1
849,1020,3
850,1676,5
851,2477,3
852,341,2
